Frame Seq, Obj_index, x, y, z, velocity, snr, noise
# Frame 316: DetectedObjs=4 : numTLVs=5
360,obj_2,0.00000,0.82895,0.00000,0.00000,289,574
360,obj_3,0.00000,1.09072,0.00000,0.00000,165,498
# Frame 361: DetectedObjs=4 : numTLVs=5
361,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
361,obj_1,0.01772,0.56690,0.00000,0.00000,317,707
361,obj_2,0.00000,0.82895,0.00000,0.00000,303,561
361,obj_3,-0.03408,1.09018,0.00000,0.00000,176,488
# Frame 362: DetectedObjs=4 : numTLVs=5
362,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
362,obj_1,0.01772,0.56690,0.00000,0.00000,317,707
362,obj_2,0.00000,0.82895,0.00000,0.00000,307,558
362,obj_3,-0.03408,1.09018,0.00000,0.00000,166,500
# Frame 363: DetectedObjs=4 : numTLVs=5
363,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
363,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
363,obj_2,0.00000,0.82895,0.00000,0.00000,299,566
363,obj_3,-0.03408,1.09018,0.00000,0.00000,175,488
# Frame 364: DetectedObjs=4 : numTLVs=5
364,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
364,obj_1,0.01772,0.56690,0.00000,0.00000,319,705
364,obj_2,0.00000,0.82895,0.00000,0.00000,287,577
364,obj_3,-0.03408,1.09018,0.00000,0.00000,152,508
# Frame 365: DetectedObjs=4 : numTLVs=5
365,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
365,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
365,obj_2,0.00000,0.82895,0.00000,0.00000,301,563
365,obj_3,0.00000,1.09072,0.00000,0.00000,182,486
# Frame 366: DetectedObjs=4 : numTLVs=5
366,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
366,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
366,obj_2,0.00000,0.82895,0.00000,0.00000,294,569
366,obj_3,0.00000,1.09072,0.00000,0.00000,165,499
# Frame 367: DetectedObjs=4 : numTLVs=5
367,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
367,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
367,obj_2,0.00000,0.82895,0.00000,0.00000,281,583
367,obj_3,-0.03408,1.09018,0.00000,0.00000,169,499
# Frame 368: DetectedObjs=4 : numTLVs=5
368,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
368,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
368,obj_2,0.00000,0.82895,0.00000,0.00000,299,565
368,obj_3,-0.03408,1.09018,0.00000,0.00000,169,499
# Frame 369: DetectedObjs=4 : numTLVs=5
369,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
369,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
369,obj_2,0.00000,0.82895,0.00000,0.00000,291,573
369,obj_3,0.00000,1.09072,0.00000,0.00000,153,516
# Frame 370: DetectedObjs=4 : numTLVs=5
370,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
370,obj_1,0.01772,0.56690,0.00000,0.00000,315,709
370,obj_2,0.00000,0.82895,0.00000,0.00000,288,576
370,obj_3,-0.03408,1.09018,0.00000,0.00000,162,504
# Frame 371: DetectedObjs=4 : numTLVs=5
371,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
371,obj_1,0.01772,0.56690,0.00000,0.00000,320,704
371,obj_2,0.00000,0.82895,0.00000,0.00000,296,569
371,obj_3,0.00000,1.09072,0.00000,0.00000,171,495
# Frame 372: DetectedObjs=4 : numTLVs=5
372,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
372,obj_1,0.01772,0.56690,0.00000,0.00000,313,711
372,obj_2,0.00000,0.82895,0.00000,0.00000,299,565
372,obj_3,0.00000,1.09072,0.00000,0.00000,168,500
# Frame 373: DetectedObjs=4 : numTLVs=5
373,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
373,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
373,obj_2,0.00000,0.82895,0.00000,0.00000,290,574
